bigram,count,sem,mean,std,skew,kurtosis
ab,2174,0.00469209661114,0.226276908516,0.21877450789,12.4621703597,306.160972956
ac,2547,0.00341331529365,0.260614448192,0.172262552911,5.14633124705,45.5178337693
ad,2765,0.0039122929844,0.264488969259,0.205721147757,5.09824733147,45.3788224785
ae,488,0.0145870848887,0.390153688525,0.322239237568,3.6331444956,17.24084866
af,905,0.0060635784676,0.261814364641,0.182411952373,4.15498184321,29.9019262986
ag,1100,0.00720263755219,0.283161817611,0.238884462615,3.7867057539,20.8267889055
ah,272,0.0135063390306,0.21791544131,0.222752249755,2.27585995304,6.48009166405
ai,2055,0.00432035622733,0.192592700674,0.195850854347,7.10992112129,79.3006487111
aj,69,0.0360253945891,0.262971015018,0.299249402365,4.02865339909,20.922462606
ak,1196,0.00495174207962,0.205035116502,0.171247249757,3.09592422798,12.4968897413
al,6045,0.00203017247054,0.18327692302,0.157845093597,5.60366951165,55.7466354372
am,2093,0.00462050701271,0.196937411251,0.211385039724,6.24593951864,57.364220877
an,12542,0.00163552594197,0.170323871679,0.183164302009,13.964652336,430.250623281
ao,107,0.02473766923,0.302495327103,0.255888440235,1.87000488519,3.11061418056
ap,1068,0.00579078035163,0.233272472817,0.189244261214,4.81943765973,40.2693842291
ar,5758,0.00229891022015,0.205982980656,0.174444724934,5.97046102475,64.5717025821
as,9839,0.00160936622942,0.199312328355,0.159635826175,7.05810617073,94.3234987545
at,11517,0.00169305693284,0.188306416629,0.181694276067,13.5897804709,475.125763158
au,1576,0.00544617483857,0.235413705345,0.216206967757,4.87886769217,38.4444970009
av,1970,0.00418271587202,0.211200000232,0.185648514053,8.28227367648,144.53501212
aw,439,0.0119465613395,0.299849658314,0.250308257796,5.48472889157,50.9913650606
ax,90,0.0272092874822,0.387277777778,0.258129965862,3.45405763016,16.7688773307
ay,2994,0.00280491303837,0.187130928088,0.153477705989,5.12133186323,53.3065783913
az,156,0.0255251541527,0.428974358974,0.318809073184,4.17905826012,29.4997089599
ba,3259,0.00189646305832,0.159640073769,0.108264622924,5.73845828054,55.3271822313
bb,58,0.0254518677675,0.218327586207,0.193835650038,3.61049908149,13.5920864269
be,3753,0.00278064621355,0.173176658885,0.170347207487,32.0626687439,1531.67866987
bi,1188,0.00443701754475,0.219171717087,0.152932351498,3.78103670265,26.9044161186
bl,1097,0.00559563688047,0.231834093063,0.185333034971,6.01316143055,70.7352027348
bm,39,0.0303090440887,0.332487179487,0.189279919667,2.47268843939,9.36738508272
bo,2067,0.00339054494521,0.199434929983,0.154148656555,7.08192040502,119.639524492
br,632,0.00883927699436,0.254545886076,0.222215977911,8.88582910446,126.002850427
bs,177,0.0306839645448,0.314016949153,0.4082235973,6.13425154137,45.2333245022
bt,72,0.0348818184685,0.339402777778,0.295982044551,3.6116436996,14.5814981947
bu,1928,0.00443862546497,0.200690871459,0.194895591339,14.2132593418,354.942939833
by,1530,0.00378952141535,0.213669280829,0.148227942753,6.28989893026,78.9661696616
ca,3668,0.00246452187703,0.187553708559,0.1492613417,9.32070738681,161.813198577
cc,468,0.00840364967902,0.186933760684,0.181798738913,10.7188228318,134.488149132
ce,2770,0.00269765239393,0.195719494544,0.141979575202,10.3276310444,207.450574241
ch,2861,0.00287125709682,0.166274729313,0.153578708294,8.82956504835,160.583384739
ci,1402,0.00472010695094,0.202695435093,0.176736335537,4.86147685953,33.6078770898
